customer_id,customer_name,region,signup_date
69,Customer_69,West,2022-03-10
70,Customer_70,South,2022-03-11
71,Customer_71,South,2022-03-12
72,Customer_72,South,2022-03-13
73,Customer_73,North,2022-03-14
74,Customer_74,South,2022-03-15
75,Customer_75,North,2022-03-16
76,Customer_76,South,2022-03-17
77,Customer_77,West,2022-03-18
78,Customer_78,West,2022-03-19
79,Customer_79,East,2022-03-20
80,Customer_80,West,2022-03-21
81,Customer_81,East,2022-03-22
82,Customer_82,West,2022-03-23
83,Customer_83,North,2022-03-24
84,Customer_84,West,2022-03-25
85,Customer_85,East,2022-03-26
86,Customer_86,East,2022-03-27
87,Customer_87,South,2022-03-28
88,Customer_88,North,2022-03-29
89,Customer_89,West,2022-03-30
90,Customer_90,South,2022-03-31
91,Customer_91,West,2022-04-01
92,Customer_92,West,2022-04-02
93,Customer_93,South,2022-04-03
94,Customer_94,South,2022-04-04
95,Customer_95,South,2022-04-05
96,Customer_96,South,2022-04-06
97,Customer_97,South,2022-04-07
98,Customer_98,West,2022-04-08
99,Customer_99,South,2022-04-09
100,Customer_100,North,2022-04-10
101,Customer_101,East,2022-04-11
102,Customer_102,South,2022-04-12
103,Customer_103,South,2022-04-13
104,Customer_104,West,2022-04-14
105,Customer_105,South,2022-04-15
106,Customer_106,South,2022-04-16
107,Customer_107,South,2022-04-17
108,Customer_108,West,2022-04-18
109,Customer_109,South,2022-04-19
110,Customer_110,East,2022-04-20
111,Customer_111,West,2022-04-21
112,Customer_112,East,2022-04-22
113,Customer_113,West,2022-04-23
114,Customer_114,South,2022-04-24
115,Customer_115,East,2022-04-25
116,Customer_116,West,2022-04-26
117,Customer_117,North,2022-04-27
118,Customer_118,South,2022-04-28
119,Customer_119,West,2022-04-29
120,Customer_120,North,2022-04-30
121,Customer_121,West,2022-05-01
122,Customer_122,North,2022-05-02
123,Customer_123,South,2022-05-03
124,Customer_124,East,2022-05-04
125,Customer_125,North,2022-05-05
126,Customer_126,West,2022-05-06
127,Customer_127,South,2022-05-07
128,Customer_128,North,2022-05-08
129,Customer_129,West,2022-05-09
130,Customer_130,West,2022-05-10
131,Customer_131,West,2022-05-11
132,Customer_132,North,2022-05-12
133,Customer_133,North,2022-05-13
134,Customer_134,North,2022-05-14
135,Customer_135,East,2022-05-15
136,Customer_136,North,2022-05-16
137,Customer_137,North,2022-05-17
138,Customer_138,North,2022-05-18
139,Customer_139,East,2022-05-19
140,Customer_140,North,2022-05-20
141,Customer_141,West,2022-05-21
142,Customer_142,North,2022-05-22
143,Customer_143,West,2022-05-23
144,Customer_144,West,2022-05-24
145,Customer_145,West,2022-05-25
146,Customer_146,East,2022-05-26
147,Customer_147,East,2022-05-27
148,Customer_148,East,2022-05-28
149,Customer_149,North,2022-05-29
150,Customer_150,West,2022-05-30
151,Customer_151,East,2022-05-31
152,Customer_152,East,2022-06-01
153,Customer_153,North,2022-06-02
154,Customer_154,East,2022-06-03
155,Customer_155,North,2022-06-04
156,Customer_156,South,2022-06-05
157,Customer_157,East,2022-06-06
158,Customer_158,South,2022-06-07
159,Customer_159,North,2022-06-08
160,Customer_160,West,2022-06-09
161,Customer_161,East,2022-06-10
162,Customer_162,North,2022-06-11
163,Customer_163,West,2022-06-12
164,Customer_164,West,2022-06-13
165,Customer_165,South,2022-06-14
166,Customer_166,North,2022-06-15
167,Customer_167,West,2022-06-16
168,Customer_168,East,2022-06-17
169,Customer_169,East,2022-06-18
170,Customer_170,South,2022-06-19
171,Customer_171,West,2022-06-20
172,Customer_172,North,2022-06-21
173,Customer_173,East,2022-06-22
174,Customer_174,West,2022-06-23
175,Customer_175,West,2022-06-24
176,Customer_176,South,2022-06-25
177,Customer_177,East,2022-06-26
178,Customer_178,East,2022-06-27
179,Customer_179,North,2022-06-28
180,Customer_180,East,2022-06-29
181,Customer_181,North,2022-06-30
182,Customer_182,East,2022-07-01
183,Customer_183,South,2022-07-02
184,Customer_184,East,2022-07-03
185,Customer_185,North,2022-07-04
186,Customer_186,North,2022-07-05
187,Customer_187,South,2022-07-06
188,Customer_188,East,2022-07-07
189,Customer_189,East,2022-07-08
190,Customer_190,South,2022-07-09
191,Customer_191,East,2022-07-10
192,Customer_192,East,2022-07-11
193,Customer_193,North,2022-07-12
194,Customer_194,East,2022-07-13
195,Customer_195,East,2022-07-14
196,Customer_196,South,2022-07-15
197,Customer_197,South,2022-07-16
198,Customer_198,West,2022-07-17
199,Customer_199,North,2022-07-18
200,Customer_200,East,2022-07-19
201,Customer_201,East,2022-07-20
202,Customer_202,West,2022-07-21
203,Customer_203,East,2022-07-22
204,Customer_204,North,2022-07-23
205,Customer_205,West,2022-07-24
206,Customer_206,North,2022-07-25
207,Customer_207,West,2022-07-26
208,Customer_208,West,2022-07-27
209,Customer_209,South,2022-07-28
210,Customer_210,North,2022-07-29
211,Customer_211,East,2022-07-30
212,Customer_212,East,2022-07-31
213,Customer_213,North,2022-08-01
214,Customer_214,East,2022-08-02
215,Customer_215,East,2022-08-03
216,Customer_216,North,2022-08-04
217,Customer_217,West,2022-08-05
218,Customer_218,North,2022-08-06
219,Customer_219,West,2022-08-07
220,Customer_220,East,2022-08-08
221,Customer_221,East,2022-08-09
222,Customer_222,East,2022-08-10
223,Customer_223,South,2022-08-11
224,Customer_224,West,2022-08-12
225,Customer_225,South,2022-08-13
226,Customer_226,South,2022-08-14
227,Customer_227,North,2022-08-15
228,Customer_228,South,2022-08-16
229,Customer_229,North,2022-08-17
230,Customer_230,North,2022-08-18
231,Customer_231,South,2022-08-19
232,Customer_232,West,2022-08-20
233,Customer_233,West,2022-08-21
234,Customer_234,West,2022-08-22
235,Customer_235,West,2022-08-23
236,Customer_236,West,2022-08-24
237,Customer_237,South,2022-08-25
238,Customer_238,South,2022-08-26
239,Customer_239,East,2022-08-27
240,Customer_240,West,2022-08-28
241,Customer_241,South,2022-08-29
242,Customer_242,East,2022-08-30
243,Customer_243,West,2022-08-31
244,Customer_244,North,2022-09-01
245,Customer_245,East,2022-09-02
246,Customer_246,South,2022-09-03
247,Customer_247,North,2022-09-04
248,Customer_248,North,2022-09-05
249,Customer_249,North,2022-09-06
250,Customer_250,East,2022-09-07
251,Customer_251,South,2022-09-08
252,Customer_252,North,2022-09-09
253,Customer_253,West,2022-09-10
254,Customer_254,North,2022-09-11
255,Customer_255,North,2022-09-12
256,Customer_256,East,2022-09-13
257,Customer_257,East,2022-09-14
258,Customer_258,South,2022-09-15
259,Customer_259,West,2022-09-16
260,Customer_260,East,2022-09-17
261,Customer_261,North,2022-09-18
262,Customer_262,South,2022-09-19
263,Customer_263,North,2022-09-20
264,Customer_264,North,2022-09-21
265,Customer_265,East,2022-09-22
266,Customer_266,South,2022-09-23
267,Customer_267,West,2022-09-24
268,Customer_268,West,2022-09-25
269,Customer_269,East,2022-09-26
270,Customer_270,East,2022-09-27
271,Customer_271,South,2022-09-28
272,Customer_272,West,2022-09-29
273,Customer_273,West,2022-09-30
274,Customer_274,West,2022-10-01
275,Customer_275,North,2022-10-02
276,Customer_276,West,2022-10-03
277,Customer_277,North,2022-10-04
278,Customer_278,South,2022-10-05
279,Customer_279,North,2022-10-06
280,Customer_280,South,2022-10-07
281,Customer_281,West,2022-10-08
282,Customer_282,West,2022-10-09
283,Customer_283,South,2022-10-10
284,Customer_284,East,2022-10-11
285,Customer_285,South,2022-10-12
286,Customer_286,East,2022-10-13
287,Customer_287,North,2022-10-14
288,Customer_288,North,2022-10-15
289,Customer_289,North,2022-10-16
290,Customer_290,West,2022-10-17
291,Customer_291,North,2022-10-18
292,Customer_292,East,2022-10-19
293,Customer_293,North,2022-10-20
294,Customer_294,South,2022-10-21
295,Customer_295,South,2022-10-22
296,Customer_296,West,2022-10-23
297,Customer_297,South,2022-10-24
298,Customer_298,East,2022-10-25
299,Customer_299,North,2022-10-26
300,Customer_300,West,2022-10-27
301,Customer_301,North,2022-10-28
302,Customer_302,North,2022-10-29
303,Customer_303,East,2022-10-30
304,Customer_304,South,2022-10-31
305,Customer_305,South,2022-11-01
306,Customer_306,North,2022-11-02
307,Customer_307,West,2022-11-03
308,Customer_308,South,2022-11-04
309,Customer_309,West,2022-11-05
310,Customer_310,South,2022-11-06
311,Customer_311,West,2022-11-07
312,Customer_312,East,2022-11-08
313,Customer_313,West,2022-11-09
314,Customer_314,East,2022-11-10
315,Customer_315,East,2022-11-11
316,Customer_316,West,2022-11-12
317,Customer_317,East,2022-11-13
318,Customer_318,North,2022-11-14
319,Customer_319,East,2022-11-15
320,Customer_320,South,2022-11-16
321,Customer_321,West,2022-11-17
322,Customer_322,North,2022-11-18
323,Customer_323,West,2022-11-19
324,Customer_324,South,2022-11-20
325,Customer_325,South,2022-11-21
326,Customer_326,South,2022-11-22
327,Customer_327,East,2022-11-23
328,Customer_328,East,2022-11-24
329,Customer_329,West,2022-11-25
330,Customer_330,West,2022-11-26
331,Customer_331,North,2022-11-27
332,Customer_332,North,2022-11-28
333,Customer_333,West,2022-11-29
334,Customer_334,East,2022-11-30
335,Customer_335,South,2022-12-01
336,Customer_336,West,2022-12-02
337,Customer_337,North,2022-12-03
338,Customer_338,East,2022-12-04
339,Customer_339,West,2022-12-05
340,Customer_340,West,2022-12-06
341,Customer_341,East,2022-12-07
342,Customer_342,West,2022-12-08
343,Customer_343,East,2022-12-09
344,Customer_344,South,2022-12-10
345,Customer_345,East,2022-12-11
346,Customer_346,East,2022-12-12
347,Customer_347,East,2022-12-13
348,Customer_348,West,2022-12-14
349,Customer_349,West,2022-12-15
350,Customer_350,East,2022-12-16
351,Customer_351,West,2022-12-17
352,Customer_352,North,2022-12-18
353,Customer_353,North,2022-12-19
354,Customer_354,West,2022-12-20
355,Customer_355,West,2022-12-21
356,Customer_356,East,2022-12-22
357,Customer_357,South,2022-12-23
358,Customer_358,West,2022-12-24
359,Customer_359,North,2022-12-25
360,Customer_360,East,2022-12-26
361,Customer_361,West,2022-12-27
362,Customer_362,North,2022-12-28
363,Customer_363,North,2022-12-29
364,Customer_364,South,2022-12-30
365,Customer_365,East,2022-12-31
366,Customer_366,East,2023-01-01
367,Customer_367,South,2023-01-02
368,Customer_368,South,2023-01-03
369,Customer_369,East,2023-01-04
370,Customer_370,East,2023-01-05
371,Customer_371,West,2023-01-06
372,Customer_372,West,2023-01-07
373,Customer_373,South,2023-01-08
374,Customer_374,West,2023-01-09
375,Customer_375,North,2023-01-10
376,Customer_376,West,2023-01-11
377,Customer_377,West,2023-01-12
378,Customer_378,North,2023-01-13
379,Customer_379,South,2023-01-14
380,Customer_380,North,2023-01-15
381,Customer_381,West,2023-01-16
382,Customer_382,South,2023-01-17
383,Customer_383,West,2023-01-18
384,Customer_384,North,2023-01-19
385,Customer_385,North,2023-01-20
386,Customer_386,West,2023-01-21
387,Customer_387,East,2023-01-22
388,Customer_388,East,2023-01-23
389,Customer_389,North,2023-01-24
390,Customer_390,North,2023-01-25
391,Customer_391,East,2023-01-26
392,Customer_392,East,2023-01-27
393,Customer_393,West,2023-01-28
394,Customer_394,West,2023-01-29
395,Customer_395,East,2023-01-30
396,Customer_396,West,2023-01-31
397,Customer_397,West,2023-02-01
398,Customer_398,South,2023-02-02
399,Customer_399,West,2023-02-03
400,Customer_400,North,2023-02-04
401,Customer_401,West,2023-02-05
402,Customer_402,West,2023-02-06
403,Customer_403,East,2023-02-07
404,Customer_404,North,2023-02-08
405,Customer_405,West,2023-02-09
406,Customer_406,West,2023-02-10
407,Customer_407,South,2023-02-11
408,Customer_408,West,2023-02-12
409,Customer_409,West,2023-02-13
410,Customer_410,South,2023-02-14
411,Customer_411,East,2023-02-15
412,Customer_412,West,2023-02-16
413,Customer_413,South,2023-02-17
414,Customer_414,North,2023-02-18
415,Customer_415,East,2023-02-19
416,Customer_416,North,2023-02-20
417,Customer_417,North,2023-02-21
418,Customer_418,South,2023-02-22
419,Customer_419,West,2023-02-23
420,Customer_420,South,2023-02-24
421,Customer_421,South,2023-02-25
422,Customer_422,South,2023-02-26
423,Customer_423,South,2023-02-27
424,Customer_424,East,2023-02-28
425,Customer_425,West,2023-03-01
426,Customer_426,North,2023-03-02
427,Customer_427,North,2023-03-03
428,Customer_428,West,2023-03-04
429,Customer_429,North,2023-03-05
430,Customer_430,West,2023-03-06
431,Customer_431,North,2023-03-07
432,Customer_432,South,2023-03-08
433,Customer_433,North,2023-03-09
434,Customer_434,West,2023-03-10
435,Customer_435,West,2023-03-11
436,Customer_436,West,2023-03-12
437,Customer_437,West,2023-03-13
438,Customer_438,West,2023-03-14
439,Customer_439,East,2023-03-15
440,Customer_440,East,2023-03-16
441,Customer_441,North,2023-03-17
442,Customer_442,West,2023-03-18
443,Customer_443,North,2023-03-19
444,Customer_444,West,2023-03-20
445,Customer_445,West,2023-03-21
446,Customer_446,East,2023-03-22
447,Customer_447,East,2023-03-23
448,Customer_448,South,2023-03-24
449,Customer_449,East,2023-03-25
450,Customer_450,South,2023-03-26
451,Customer_451,South,2023-03-27
452,Customer_452,South,2023-03-28
453,Customer_453,South,2023-03-29
454,Customer_454,South,2023-03-30
455,Customer_455,North,2023-03-31
456,Customer_456,East,2023-04-01
457,Customer_457,South,2023-04-02
458,Customer_458,West,2023-04-03
459,Customer_459,East,2023-04-04
460,Customer_460,East,2023-04-05
461,Customer_461,South,2023-04-06
462,Customer_462,North,2023-04-07
463,Customer_463,South,2023-04-08
464,Customer_464,North,2023-04-09
465,Customer_465,West,2023-04-10
466,Customer_466,East,2023-04-11
467,Customer_467,West,2023-04-12
468,Customer_468,North,2023-04-13
469,Customer_469,North,2023-04-14
470,Customer_470,West,2023-04-15
471,Customer_471,North,2023-04-16
472,Customer_472,West,2023-04-17
473,Customer_473,East,2023-04-18
474,Customer_474,West,2023-04-19
475,Customer_475,East,2023-04-20
476,Customer_476,West,2023-04-21
477,Customer_477,North,2023-04-22
478,Customer_478,West,2023-04-23
479,Customer_479,North,2023-04-24
480,Customer_480,West,2023-04-25
481,Customer_481,West,2023-04-26
482,Customer_482,South,2023-04-27
483,Customer_483,North,2023-04-28
484,Customer_484,South,2023-04-29
485,Customer_485,North,2023-04-30
486,Customer_486,South,2023-05-01
487,Customer_487,East,2023-05-02
488,Customer_488,West,2023-05-03
489,Customer_489,North,2023-05-04
490,Customer_490,North,2023-05-05
491,Customer_491,West,2023-05-06
492,Customer_492,North,2023-05-07
493,Customer_493,North,2023-05-08
494,Customer_494,South,2023-05-09
495,Customer_495,North,2023-05-10
496,Customer_496,East,2023-05-11
497,Customer_497,East,2023-05-12
498,Customer_498,West,2023-05-13
499,Customer_499,North,2023-05-14
500,Customer_500,West,2023-05-15
